,Title,Date,Score
241,Trackmania Turbo (XONE),"Mar 22, 2016",7.5
242,Tom Clancy's The Division (PS4),"Mar 8, 2016",7.0
243,Tom Clancy's The Division (XONE),"Mar 8, 2016",6.9
244,Tom Clancy's The Division (PC),"Mar 8, 2016",6.0
245,Far Cry Primal (PC),"Mar 1, 2016",5.2
246,Assassin's Creed Syndicate: The Last Maharaja (PC),"Mar 1, 2016",5.3
247,Assassin's Creed Syndicate: The Last Maharaja (PS4),"Mar 1, 2016",5.8
248,Assassin's Creed Syndicate: The Last Maharaja (XONE),"Mar 1, 2016",6.9
249,Assassin's Creed Identity (iOS),"Feb 25, 2016",5.6
250,Far Cry Primal (PS4),"Feb 23, 2016",6.4
251,Far Cry Primal (XONE),"Feb 23, 2016",6.4
252,Rayman Classic (iOS),"Feb 18, 2016",7.3
253,Assassin's Creed Chronicles: Russia (PS4),"Feb 9, 2016",3.9
254,Assassin's Creed Chronicles: Russia (XONE),"Feb 9, 2016",4.1
255,Assassin's Creed Chronicles: Russia (PC),"Feb 9, 2016",4.6
256,Assassin's Creed Chronicles (PS4),"Feb 9, 2016",5.0
257,Assassin's Creed Chronicles (XONE),"Feb 9, 2016",5.4
258,Assassin's Creed Chronicles (PC),"Feb 9, 2016",3.6
259,Sandstorm: Pirate Wars (iOS),"Jan 27, 2016",tbd
260,Assassin's Creed Chronicles: India (PS4),"Jan 13, 2016",3.9
261,Smurfs Epic Run (iOS),"Jan 13, 2016",tbd
262,Assassin's Creed Chronicles: India (XONE),"Jan 12, 2016",4.7
263,Assassin's Creed Chronicles: India (PC),"Jan 12, 2016",4.9
264,Assassin's Creed Syndicate: Jack the Ripper (PS4),"Dec 15, 2015",6.6
265,Assassin's Creed Syndicate: Jack the Ripper (XONE),"Dec 15, 2015",6.6
266,Assassin's Creed Syndicate: Jack the Ripper (PC),"Dec 15, 2015",7.1
267,Tetris Ultimate (PC),"Dec 10, 2015",tbd
268,Rayman Adventures (iOS),"Dec 3, 2015",6.6
269,Tom Clancy's Rainbow Six Siege (XONE),"Dec 1, 2015",7.0
270,Tom Clancy's Rainbow Six Siege (PS4),"Dec 1, 2015",7.4
271,Tom Clancy's Rainbow Six Siege (PC),"Dec 1, 2015",7.1
272,Assassin's Creed Unity: Revolutionary Armaments Pack (PC),"Nov 28, 2015",tbd
273,Might & Magic Heroes Online (PC),"Nov 24, 2015",4.8
274,Assassin's Creed Syndicate (PC),"Nov 19, 2015",6.0
275,Assassin's Creed Syndicate - Steampunk Pack (PC),"Nov 18, 2015",tbd
